start_dt,match_type,rule,map_type,map,cost,result,medi_rating,num_member,num_ally_raid,num_ally_general,num_ally_support,num_ally_disconnect,num_enemy_raid,num_enemy_general,num_enemy_support,num_enemy_disconnect,ally_team,my_ms,my_category,new_rating,result_rival,score,assist,damage,diversion,defeat_cnt,loss_cnt,chase_assist
2021-08-24T23:35:25.815853,レーティングマッチ,エースマッチ,地上,墜落跡地,650,lose,A+,6,1,4,1,0,1,4,1,0,team_a,ジ・O,汎用,2665,lose,4745,1170,75554,0.1374,3,4,6400
2021-08-24T23:55:32.659514,レーティングマッチ,ベーシック,地上,熱帯砂漠,400,lose,A+,6,1,4,1,0,1,4,1,0,team_a,ジムⅡ・セミストライカー,強襲,2647,lose,2180,480,65422,0.1558,4,5,23400
2021-08-25T00:07:35.244437,レーティングマッチ,ベーシック,地上,廃墟都市,700,lose,A,5,1,3,1,0,0,4,1,0,team_a,Ζガンダム［HML］,支援,2638,win,3325,1050,120487,0.1497,3,3,8300
2021-08-25T00:25:11.495901,レーティングマッチ,ベーシック,地上,廃墟都市,700,win,A+,5,1,3,1,0,1,3,1,0,team_b,Ζガンダム［HML］,支援,2653,win,4430,630,113988,0.1403,5,1,4500
2021-08-25T00:35:24.617375,レーティングマッチ,ベーシック,地上,密林地帯,700,lose,A+,5,0,3,1,1,1,4,0,0,team_a,Ζガンダム［HML］,支援,2636,lose,3325,1050,90572,0.1328,3,5,4800
2021-08-25T00:46:08.638556,レーティングマッチ,ベーシック,地上,北極基地,700,win,A+,5,0,4,1,0,1,3,1,0,team_a,Ζガンダム［HML］,支援,2646,lose,1985,1260,94240,0.1895,1,2,17000
2021-08-25T00:58:56.601834,レーティングマッチ,ベーシック,地上,密林地帯,700,lose,A+,5,1,3,1,0,0,4,1,0,team_a,Ζガンダム［HML］,支援,2631,lose,4860,630,99703,0.1335,4,2,12300
2021-08-25T01:11:11.961242,レーティングマッチ,ベーシック,地上,墜落跡地,700,lose,A+,5,0,4,1,0,1,3,1,0,team_b,Ζガンダム［HML］,支援,2615,lose,2849,1449,114067,0.1851,2,3,8000
2021-08-25T01:23:58.543462,レーティングマッチ,ベーシック,地上,墜落跡地,700,win,S-,5,0,3,2,0,2,3,0,0,team_b,Ζガンダム［HML］,支援,2629,win,4710,1035,88069,0.1492,5,2,9500
2021-08-25T01:34:35.604877,レーティングマッチ,ベーシック,地上,無人都市,700,lose,A+,5,0,3,2,0,0,4,1,0,team_a,νガンダム,汎用,2616,lose,3080,840,68150,0.174,2,3,5600
2021-08-25T02:04:02.357886,レーティングマッチ,ベーシック,地上,熱帯砂漠,300,win,A+,5,1,3,1,0,1,3,1,0,team_b,ジム・スナイパーカスタム,支援,2629,win,1980,630,83381,0.1793,4,2,0
2021-08-25T23:00:59.561134,レーティングマッチ,エースマッチ,宇宙,廃墟コロニー,500,win,A,6,0,5,1,0,1,3,1,1,team_b,ビショップ,支援,2441,win,4400,750,101753,0.1364,5,2,21700
2021-08-25T23:14:14.570507,レーティングマッチ,ベーシック,地上,北極基地,650,lose,A+,5,1,3,1,0,1,3,1,0,team_b,Ζガンダム［HML］,支援,2614,lose,3530,780,90415,0.2432,4,4,2100
